id,category,question,expected_tool,ground_truth,answer,actual_tool,routing_correct,latency,total_iterations,context_recall,faithfulness,answer_correctness,failure_mode
F1,factual,How many stories are in the graph?,text2cypher,There are 6 stories.,6 [1].,text2cypher,True,17.762099742889404,1,1.0,1.0,1.0,Excelente
F2,factual,Which characters appear in more than one story?,text2cypher,Sherlock Holmes; Watson; Mrs. Hudson,"Sherlock Holmes [1], Watson [2], and Mrs. Hudson [3] appear in more than one story.",text2cypher,True,20.37017059326172,1,1.0,1.0,1.0,Excelente
F3,factual,How many deductions does Holmes make in The Adventure of the Speckled Band?,text2cypher,77 deductions,77 [1].,text2cypher,True,16.92923903465271,1,1.0,1.0,0.0,Contexto insuficiente
F4,factual,Which story has the most deductions?,text2cypher,The Adventure Of The Speckled Band (77 deductions),"The Adventure Of The Speckled Band has the most deductions with 77 [1]. Other stories and their deduction counts are: Silver Blaze with 67 [2], The Adventure Of The Dancing Men with 65 [3], A Scandal In Bohemia with 50 [4], The Red-Headed League with 34 [5], and The Final Problem with 30 [6].",text2cypher,True,41.59476566314697,2,1.0,1.0,0.25,Contexto insuficiente
D1,descriptive,How does Holmes disguise himself in A Scandal in Bohemia?,vector_search,Holmes disguises himself as a drunken groom and later as a Nonconformist clergyman in A Scandal in Bohemia.,"Holmes changed his costume, and his expression, manner, and soul varied with every new part he assumed [1]. However, the provided context does not specify the particular costume or role he adopted as a disguise in 'A Scandal in Bohemia'.",hybrid_search,False,72.3426513671875,3,0.0,1.0,0.2857142857142857,Contexto insuficiente
D2,descriptive,Describe the atmosphere at the Reichenbach Falls.,vector_search,"Conan Doyle creates a dramatic and deadly atmosphere at Reichenbach Falls, with roaring waters and a precipice where Holmes and Moriarty apparently fall to their deaths.","Las cataratas de Reichenbach son un lugar temible [1]. El torrente, hinchado por la nieve derretida, se precipita en un tremendo abismo, del cual el rocío sube como el humo de una casa en llamas [1]. El constante torbellino y clamor del agua rugiendo y el rocío silbando hacia arriba marean a uno, y se escucha un grito medio humano que resuena desde el abismo [1].",vector_search,True,12.381450176239014,1,1.0,1.0,0.33333333333333337,Contexto insuficiente
D3,descriptive,What role does the cipher play in The Adventure of the Dancing Men?,hybrid_search,"The dancing men cipher is the central mystery: Holmes deciphers it by frequency analysis, uncovering a threat to Elsie Cubitt from her criminal past in America.","El cifrado de los hombres danzantes es una forma de comunicación que asusta a la Sra. Hilton Cubitt [3]. Holmes lo utiliza para atraer a Abe Slaney, ya que sabía que Slaney no rechazaría una invitación que creería que venía de la dama [2].",hybrid_search,True,19.366172075271606,1,0.0,0.75,0.3333333333333333,Contexto insuficiente
D4,descriptive,How does Holmes use disguise as an investigative method?,hybrid_search,"Holmes uses disguise extensively across stories, adopting personas such as a drunken groom, a Nonconformist clergyman, and an old bookseller to gather information without being recognised.","Holmes cambia su vestuario, su expresión y sus modales, pareciendo que su misma alma varía con cada nuevo papel que asume [1]. Esta habilidad le permite adoptar diferentes roles para sus investigaciones [1]. Un ejemplo es cuando cambió su disfraz antes de ir a Briony Lodge para investigar cómo conseguir que una mujer le mostrara una fotografía [1, 3].",vector_search,False,44.590282917022705,2,0.0,0.75,0.6666666666666666,Contexto insuficiente
S1,structural,Which characters know Holmes AND appear in more than one story?,text2cypher,Watson,Watson [1].,text2cypher,True,74.92735004425049,3,1.0,1.0,0.0,Contexto insuficiente
S2,structural,What objects does Sherlock Holmes use across all stories?,text2cypher,"Alpine-stock; Continental Gazetteer; Holmes's index; bag; bell-rope; black cassock; black clay pipe; boots; box of matches; cable form; cablegram; cane; carpet-bags; chemical vessel; cigar-shaped roll; curious figures; dark lantern; dog-whip; field-glass; glass; half-crown; hand-bag; hat; heavy hunting crop; hieroglyphics; horseshoe; india-rubber band; inscription; iron safe; ivory-handled knife with a very delicate, inflexible blade marked Weiss & Co., London; knees of his trousers; lady's hand-bag; lamp; lantern; large iron safe; lens; letter; little brazen cylinder; long thin cane; magnifying lens; match; matting; monograph upon the subject; morning paper; note; note-book; pack of cards; page torn from a notebook; paper with the curious markings; papers upon which were recorded the antics of the dancing men; photograph; photograph of Mr. John Straker; pistol; plain wooden chair; plumber's smoke-rocket; pocketbook; poker; property; receipt; revolver; sample; screen; sheet of blue paper; sheet of paper; sheet of thick, pink-tinted notepaper; shutters; slip of paper from his notebook; slips of the dancing men; small saucer of milk; special; spirits of wine; stick; stump of a candle; telegram; telegrams; test-tube; the thoroughbred; these papers; twenty fifty-pound notes of the Bank of England; whistle; will of the deceased wife; wire from Hilton Cubitt","Sherlock Holmes usa un Alpine-stock [1], un Continental Gazetteer [2], su índice [3], una bolsa [4], una cuerda de campana [5], una sotana negra [6], una pipa de arcilla negra [7], botas [8], una caja de cerillas [9], un formulario de cable [10], un cablegrama [11], un bastón [12], bolsas de alfombra [13], un recipiente químico [14], un rollo con forma de cigarro [15], figuras curiosas [16], una linterna oscura [17], un látigo de perro [18], un catalejo [19], un vaso [20], media corona [21], un bolso de mano [22], un sombrero [23], un pesado fusta de caza [24], jeroglíficos [25], una herradura [26], una banda de goma india [27], una inscripción [28], una caja fuerte de hierro [29], un cuchillo con mango de marfil con una hoja muy delicada e inflexible marcada Weiss & Co., London [30], las rodillas de sus pantalones [31], un bolso de mano de señora [32], una lámpara [33], una linterna [34], una caja fuerte grande de hierro [35], una lente [36], una carta [37], un pequeño cilindro de bronce [38], un bastón largo y delgado [39], una lupa [40], una cerilla [41], un felpudo [42], una monografía sobre el tema [43], un periódico matutino [44], una nota [45], un cuaderno [46], una baraja de cartas [47], una página arrancada de un cuaderno [48], un papel con las curiosas marcas [49], papeles en los que se registraban las travesuras de los hombres danzantes [50], una fotografía [51], una fotografía del Sr. John Straker [52], una pistola [53], una silla de madera sencilla [54], un cohete de humo de fontanero [55], una cartera [56], un atizador [57], una propiedad [58], un recibo [59], un revólver [60], una muestra [61], una pantalla [62], una hoja de papel azul [63], una hoja de papel [64], una hoja de papel de notas grueso y de color rosa [65], persianas [66], un trozo de papel de su cuaderno [67], trozos de los hombres danzantes [68], un pequeño platillo de leche [69], un especial [70], alcohol de vino [71], un palo [72], un trozo de vela [73], un telegrama [74], telegramas [75], un tubo de ensayo [76], el pura sangre [77], estos papeles [78], veinte billetes de cincuenta libras del Banco de Inglaterra [79], un silbato [80], el testamento de la esposa fallecida [81], y un cable de Hilton Cubitt [82].",text2cypher,True,25.576910495758057,1,0.0,0.9146341463414634,0.9938650306748467,Excelente
S3,structural,In which stories do crimes of type murder appear?,text2cypher,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Final Problem,"A Scandal In Bohemia [1], Silver Blaze [2], The Adventure Of The Dancing Men [3], and The Final Problem [4] are stories in which crimes of type murder appear.",text2cypher,True,18.302528858184814,1,1.0,1.0,0.6666666666666666,Contexto insuficiente
A1,adversarial,What happens in The Adventure of the Blue Carbuncle?,vector_search,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,vector_search,True,14.025755882263184,1,0.0,1.0,1.0,Excelente
A2,adversarial,How old is Irene Adler?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Irene Adler was born in 1858 [1]. Her age is not specified in the context.,text2cypher,True,48.86710262298584,2,1.0,0.5,0.6666666666666666,Fallo crítico
A3,adversarial,What is the name of Sherlock Holmes' brother who appears in Silver Blaze?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,16.08018183708191,1,1.0,1.0,1.0,Excelente
A4,adversarial,What year was A Scandal in Bohemia first published?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,16.115591049194336,1,1.0,1.0,1.0,Excelente
R1,robustness,Tell me about the violin-playing detective,vector_search,Sherlock Holmes is an accomplished violinist who plays the instrument to aid his thinking and emotional release.,"El detective es un músico entusiasta, un intérprete muy capaz y un compositor de mérito extraordinario [1]. Disfruta de la música, refiriéndose a ella como ""violin-land"" [1].",vector_search,True,18.81345224380493,1,1.0,1.0,0.5714285714285715,Contexto insuficiente
R2,robustness,En qué relatos sale el Doctor?,text2cypher,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Adventure Of The Speckled Band; The Final Problem; The Red-Headed League,"A Scandal In Bohemia [1], Silver Blaze [2], The Adventure Of The Dancing Men [3], The Adventure Of The Speckled Band [4], The Final Problem [5], y The Red-Headed League [6].",text2cypher,True,20.201480388641357,1,1.0,1.0,1.0,Excelente
R3,robustness,¿Quién es la mujer que superó a Sherlock Holmes?,vector_search,Irene Adler outwitted Sherlock Holmes in A Scandal in Bohemia by anticipating his plan and fleeing England with the photograph.,Irene Adler [1].,text2cypher,False,45.280046463012695,1,1.0,1.0,1.0,Excelente
S4,structural,What deduction chain does Holmes build in The Red-Headed League?,text2cypher,"Holmes confirms a prior suspicion, stating 'I thought as much'. -> ; He is the fourth smartest man in London, and for daring I am not sure that he has not a claim to be third. -> What I expected to see.; Holmes was interested in the knees of his trousers. -> He is the fourth smartest man in London, and for daring I am not sure that he has not a claim to be third.; Why, dear me, it sounds quite hollow! -> We have at least an hour before us.; Then we have stopped all the holes. -> They have but one retreat... That is back through the house into Saxe-Coburg Square.; he had some strong motive for securing the situation. -> It must, then, be something out of the house.; It must, then, be something out of the house. -> The cellar! There was the end of this tangled clue.; The cellar! There was the end of this tangled clue. -> I could think of nothing save that he was running a tunnel to some other building.;  -> Holmes expected them to come tonight (Saturday).","El propósito de la Liga de los Pelirrojos era apartar al prestamista durante varias horas al día [2]. Holmes dedujo que el método fue sugerido por el color del cabello del cómplice y que la paga de £4 a la semana era un señuelo para asegurar la ausencia del prestamista [2]. Finalmente, al considerar la afición del asistente a la fotografía y su desaparición en el sótano, Holmes concluyó que estaba construyendo un túnel hacia otro edificio [2].",vector_search,False,21.600883960723877,1,1.0,1.0,0.5,Contexto insuficiente
S5,structural,Which characters investigate crimes AND appear in more than one story?,text2cypher,Sherlock Holmes; Watson,Sherlock Holmes [1] and Watson [2] investigate crimes and appear in more than one story.,text2cypher,True,28.404340028762817,1,1.0,1.0,1.0,Excelente
