id,category,question,expected_tool,ground_truth,answer,actual_tool,routing_correct,latency,total_iterations,context_recall,faithfulness,answer_correctness,failure_mode
F1,factual,How many stories are in the graph?,text2cypher,There are 6 stories.,6 [1].,text2cypher,True,18.825992107391357,1,1.0,1.0,1.0,Excelente
F2,factual,Which characters appear in more than one story?,text2cypher,Sherlock Holmes; Watson; Mrs. Hudson,"Sherlock Holmes [1], Watson [2], and Mrs. Hudson [3] appear in more than one story.",text2cypher,True,19.004109144210815,1,1.0,1.0,1.0,Excelente
F3,factual,How many deductions does Holmes make in The Adventure of the Speckled Band?,text2cypher,The Adventure Of The Speckled Band contains 77 deductions.,77 [1].,text2cypher,True,18.368921756744385,1,1.0,1.0,1.0,Excelente
F4,factual,Which story has the most deductions?,text2cypher,The Adventure Of The Speckled Band has 77 deductions; Silver Blaze has 67 deductions; The Adventure Of The Dancing Men has 65 deductions; A Scandal In Bohemia has 50 deductions; The Red-Headed League has 37 deductions; The Final Problem has 30 deductions,The Adventure Of The Speckled Band [1].,text2cypher,True,14.30738878250122,1,1.0,1.0,1.0,Excelente
D1,descriptive,How does Holmes disguise himself in A Scandal in Bohemia?,vector_search,Holmes disguises himself as a drunken groom and later as a Nonconformist clergyman in A Scandal in Bohemia.,"Holmes cambia su disfraz; su expresión, modales y alma varían con cada nuevo papel que asume [3, 4]. Se disfraza de un clérigo inconformista afable y simple de mente, con un sombrero negro ancho, pantalones holgados, corbata blanca y una mirada de curiosidad benévola [4]. También se disfraza de un mozo de cuadra sin trabajo [5].",hybrid_search,False,27.961296558380127,1,0.0,0.3333333333333333,0.30769230769230765,Fallo crítico
D2,descriptive,Describe the atmosphere at the Reichenbach Falls.,hybrid_search,"The Reichenbach Falls is a dreadful place with a tremendous abyss. The torrent, swollen with melting snow, plunges into the abyss from which spray rises like smoke, with the constant swirl and clamour of roaring water.","Es un lugar temible [1]. El torrente, hinchado por la nieve derretida, se precipita en un tremendo abismo, del cual el rocío se eleva como el humo de una casa en llamas [1]. El constante torbellino y clamor del agua verde rugiendo y la cortina de rocío silbando hacia arriba marean a un hombre [1].",hybrid_search,True,24.623964071273804,1,1.0,1.0,0.47058823529411764,Contexto insuficiente
D3,descriptive,What role does the cipher play in The Adventure of the Dancing Men?,hybrid_search,"The dancing men cipher is the central mystery: Holmes deciphers it by frequency analysis, uncovering a threat to Elsie Cubitt from her criminal past in America.","El cifrado, que consistía en una línea de ""hombres danzantes"", fue utilizado por Holmes para engañar al prisionero, Abe Slaney, haciéndole creer que el mensaje ""Ven aquí de inmediato"" provenía de la dama, lo que lo llevó a acudir al lugar [2].",hybrid_search,True,31.951310873031616,1,1.0,1.0,0.28571428571428575,Contexto insuficiente
D4,descriptive,How does Holmes use disguise as an investigative method?,hybrid_search,"Holmes uses disguise extensively across stories, adopting personas such as a drunken groom, a Nonconformist clergyman, and an old bookseller to gather information without being recognised.",Esta información no se encuentra en la base de conocimiento.,vector_search,False,253.24206924438477,1,0.0,1.0,0.0,Contexto insuficiente
S1,structural,Which characters know Holmes AND appear in more than one story?,text2cypher,Watson knows Holmes and appears in 6 stories,Watson [1].,text2cypher,True,94.08255338668823,3,1.0,1.0,1.0,Excelente
S2,structural,What objects does Sherlock Holmes use across all stories?,text2cypher,"Alpine-stock; Continental Gazetteer; Holmes' hunting crop; Holmes's index; bag; bell-rope; black cassock; black clay pipe; boots; box of matches; cable form; cablegram; cane; carpet-bags; chemical vessel; cigar-shaped roll; crate; curious figures; dark lantern; dog-whip; field-glass; glass; half-crown; hand-bag; hat; heavy hunting crop; hieroglyphics; horseshoe; india-rubber band; inscription; iron safe; ivory-handled knife with a very delicate, inflexible blade marked Weiss & Co., London; knees of his trousers; lady's hand-bag; lamp; lantern; large iron safe; lens; letter; little brazen cylinder; long thin cane; magnifying lens; match; matting; monograph upon the subject; morning paper; note; note-book; page torn from a notebook; paper with the curious markings; papers upon which were recorded the antics of the dancing men; photograph; photograph of Mr. John Straker; pistol; plain wooden chair; plumber's smoke-rocket; pocketbook; poker; property; receipt; revolver; sample; screen; sheet of blue paper; sheet of paper; sheet of thick, pink-tinted notepaper; shutters; slip of paper from his notebook; slips of the dancing men; small saucer of milk; special; spirits of wine; stick; stump of a candle; telegram; telegrams; test-tube; the thoroughbred; these papers; twenty fifty-pound notes of the Bank of England; whistle; will of the deceased wife; wire from Hilton Cubitt","Sherlock Holmes usa un Alpine-stock [1], un Continental Gazetteer [2], el hunting crop de Holmes [3], el índice de Holmes [4], una bolsa [5], una cuerda de campana [6], una sotana negra [7], una pipa de arcilla negra [8], botas [9], una caja de fósforos [10], un formulario de cable [11], un cablegrama [12], un bastón [13], alfombras [14], un recipiente químico [15], un rollo en forma de cigarro [16], una caja [17], figuras curiosas [18], una linterna oscura [19], un látigo de perro [20], un catalejo [21], un vaso [22], una media corona [23], un bolso de mano [24], un sombrero [25], un pesado látigo de caza [26], jeroglíficos [27], una herradura [28], una banda de goma india [29], una inscripción [30], una caja fuerte de hierro [31], un cuchillo con mango de marfil con una hoja muy delicada e inflexible marcada Weiss & Co., Londres [32], las rodillas de sus pantalones [33], un bolso de mano de señora [34], una lámpara [35], una linterna [36], una gran caja fuerte de hierro [37], una lente [38], una carta [39], un pequeño cilindro de bronce [40], un bastón largo y delgado [41], una lupa [42], un fósforo [43], esteras [44], una monografía sobre el tema [45], un periódico matutino [46], una nota [47], un cuaderno [48], una página arrancada de un cuaderno [49], un papel con las curiosas marcas [50], papeles en los que se registraban las travesuras de los hombres danzantes [51], una fotografía [52], una fotografía del Sr. John Straker [53], una pistola [54], una silla de madera lisa [55], un cohete de humo de fontanero [56], una cartera [57], un atizador [58], una propiedad [59], un recibo [60], un revólver [61], una muestra [62], una pantalla [63], una hoja de papel azul [64], una hoja de papel [65], una hoja de papel de notas gruesa y de color rosa [66], persianas [67], un trozo de papel de su cuaderno [68], trozos de los hombres danzantes [69], un pequeño platillo de leche [70], un especial [71], alcohol de vino [72], un palo [73], un trozo de vela [74], un telegrama [75], telegramas [76], un tubo de ensayo [77], el pura sangre [78], estos papeles [79], veinte billetes de cincuenta libras del Banco de Inglaterra [80], un silbato [81], el testamento de la esposa fallecida [82], y un cable de Hilton Cubitt [83].",text2cypher,True,29.091248750686646,1,1.0,0.9036144578313253,0.9815950920245399,Excelente
