question,cypher,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
Hello,RETURN 'Hello! I am a knowledge assistant specialising in Sherlock Holmes stories.' AS ground_truth,Hello! I am a knowledge assistant specialising in Sherlock Holmes stories.,"¡Hola! Soy un asistente de conocimiento especializado en las historias de Sherlock Holmes de Arthur Conan Doyle. Puedo responder preguntas sobre personajes, ubicaciones, crímenes, deducciones, objetos y eventos de los relatos del canon holmesiano.",4.616817,[],1.0,1.0,1.0
What can you do?,"RETURN 'I can answer questions about Sherlock Holmes stories: characters, crimes, deductions, locations, and events.' AS ground_truth","I can answer questions about Sherlock Holmes stories: characters, crimes, deductions, locations, and events.","Puedo responder preguntas sobre los relatos de Sherlock Holmes: personajes y sus relaciones, ubicaciones, crímenes e investigaciones, deducciones y métodos de razonamiento de Holmes, objetos y pistas, escenas y eventos. Puedo buscar por similitud semántica, por palabras clave exactas, o consultar directamente el grafo de conocimiento para preguntas estructuradas.",3.025335,[],1.0,0.75,0.8
What is the weather like today?,RETURN 'This question is outside my scope.' AS ground_truth,This question is outside my scope.,Esta pregunta está fuera de mi ámbito. Solo puedo responder preguntas relacionadas con las historias de Sherlock Holmes y su universo literario.,3.976751,[],1.0,1.0,1.0
Who won the World Cup?,RETURN 'This question is outside my scope.' AS ground_truth,This question is outside my scope.,Esta pregunta está fuera de mi ámbito. Solo puedo responder preguntas relacionadas con las historias de Sherlock Holmes y su universo literario.,4.758477,[],1.0,1.0,1.0
How many stories are in the graph?,MATCH (s:Story) WITH count(s) AS n RETURN 'There are ' + toString(n) + ' stories in the graph.' AS ground_truth,There are 6 stories in the graph.,6 [1].,9.701879,['total_stories: 6'],1.0,1.0,1.0
How many characters are in the graph?,MATCH (c:Character) WITH count(c) AS n RETURN 'There are ' + toString(n) + ' characters in the graph.' AS ground_truth,There are 73 characters in the graph.,73 [1].,17.166092,['total_characters: 73'],1.0,1.0,1.0
What stories does Sherlock Holmes appear in?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:APPEARS_IN]->(s:Story) RETURN s.title AS ground_truth ORDER BY s.title,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Adventure Of The Speckled Band; The Final Problem; The Red-Headed League,"A Scandal In Bohemia [1], Silver Blaze [2], The Adventure Of The Dancing Men [3], The Adventure Of The Speckled Band [4], The Final Problem [5], and The Red-Headed League [6].",18.266509,"['story_title: A Scandal In Bohemia; collection: The Adventures of Sherlock Holmes', 'story_title: Silver Blaze; collection: The Memoirs of Sherlock Holmes', 'story_title: The Adventure Of The Dancing Men; collection: The Return of Sherlock Holmes', 'story_title: The Adventure Of The Speckled Band; collection: The Adventures of Sherlock Holmes', 'story_title: The Final Problem; collection: The Memoirs of Sherlock Holmes', 'story_title: The Red-Headed League; collection: The Adventures of Sherlock Holmes']",1.0,1.0,1.0
Who does Holmes know?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:KNOWS]->(c2:Character) RETURN c2.name AS ground_truth ORDER BY c2.name,"Abe Slaney; Colonel; Count Von Kramm; Dawson; Gregory; Irene Adler; Jabez Wilson; John Clay; Master Silas Brown; Miss Roylott; Mr. Merryweather; Mrs. Farintosh; Mrs. Hudson; Mrs. King; Mrs. Straker; Mrs. Watson; Mycroft; Peter Jones; Watson; Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia; Wilson Hargreave","Holmes knows Abe Slaney [1], Colonel [2], Count Von Kramm [3], Dawson [4], Gregory [5], Irene Adler [6], Jabez Wilson [7], John Clay [8], Master Silas Brown [9], Miss Roylott [10], Mr. Merryweather [11], Mrs. Farintosh [12], Mrs. Hudson [13], Mrs. King [14], Mrs. Straker [15], Mrs. Watson [16], Mycroft [17], Peter Jones [18], Watson [19], Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia [20], and Wilson Hargreave [21].",36.342482,"['known_character: Abe Slaney; relationship_type: acquaintance', 'known_character: Colonel; relationship_type: acquaintance', 'known_character: Count Von Kramm; relationship_type: acquaintance', 'known_character: Dawson; relationship_type: acquaintance', 'known_character: Gregory; relationship_type: colleague', 'known_character: Irene Adler; relationship_type: acquaintance', 'known_character: Jabez Wilson; relationship_type: colleague', 'known_character: John Clay; relationship_type: acquaintance', 'known_character: Master Silas Brown; relationship_type: acquaintance', 'known_character: Miss Roylott; relationship_type: acquaintance', 'known_character: Mr. Merryweather; relationship_type: acquaintance', 'known_character: Mrs. Farintosh; relationship_type: acquaintance', 'known_character: Mrs. Hudson; relationship_type: acquaintance', 'known_character: Mrs. King; relationship_type: acquaintance', 'known_character: Mrs. Straker; relationship_type: acquaintance', 'known_character: Mrs. Watson; relationship_type: acquaintance', 'known_character: Mycroft; relationship_type: family', 'known_character: Peter Jones; relationship_type: colleague', 'known_character: Watson; relationship_type: friend', 'known_character: Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia; relationship_type: acquaintance', 'known_character: Wilson Hargreave; relationship_type: friend']",1.0,1.0,1.0
What crimes does Holmes investigate?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:INVESTIGATES]->(cr:Crime) RETURN cr.name AS ground_truth,"Disappearance of the favourite for the Wessex Cup; Murder of the trainer of the favourite for the Wessex Cup; the matter of the ""Naval Treaty""; Attempted Murder of Mr. Holmes (van attack); Arson at Baker Street; Arson of Holmes's Rooms; Attempted Murder of Mr. Holmes (rockfall); Attempted Murder of Mr. Holmes (Reichenbach Falls); Mystery of the Dancing Men; Shooting of Mr. Hilton Cubitt and his wife; Trepoff murder; singular tragedy of the Atkinson brothers; Potential Scandal of the House of Ormstein; Disappearance of the Red-Headed League employment; Attempted Theft at Coburg Square; Threat to Helen Stoner; Death of Julia Stoner","Holmes investiga la amenaza a Helen Stoner, que incluye un intento de asesinato por parte del Dr. Grimesby Roylott usando una serpiente entrenada y las agresiones y amenazas del Dr. Roylott hacia Holmes [1]. También investiga la muerte de Julia Stoner, quien murió sin recuperar el conocimiento, posiblemente por miedo o shock nervioso, y que se reveló como un asesinato por parte del Dr. Grimesby Roylott usando una serpiente entrenada [2].",101.492803,"[""crime: Threat to Helen Stoner; type: other; description: An ongoing threat to Miss Stoner, implied by her reaction to Dr. Roylott following her. | Dr. Grimesby Roylott's attempt to murder Miss Stoner using a trained snake. | Dr. Roylott has followed Miss Stoner, causing her to fear for her safety. | Dr. Roylott's aggressive behavior and threats towards Holmes, stemming from Miss Stoner's visit, indicate an ongoing threat related to the case. | Helen Stoner's vague fears and suspicions about dangers encompassing her, which she asks Holmes to advise her on. | Holmes expresses concern that 'our little friend will not suffer from her imprudence in allowing this brute to trace her', indicating an ongoing threat to Miss Stoner. | Holmes warns the narrator that the least sound could be fatal to their plans and that their very life may depend on staying awake, indicating an active and immediate danger. | The 'subtle and horrible crime' that Holmes and Watson are trying to prevent. | The client heard the low whistle again, which was a herald of her sister's death, indicating a new threat to her. | The client hears a low whistle, similar to one heard before her sister's death, indicating an ongoing threat. | The client's current 'trouble' which she has confided to Holmes. | The doctor's interest in preventing his stepdaughter's marriage, implying a threat to Helen Stoner. | The ongoing dangers threatening Miss Stoner, which Holmes promises to drive away. | The ongoing threat to Helen Stoner's life, which Holmes is investigating. | The ongoing threat to Miss Stoner's life, which Holmes emphasizes is very serious. | The ongoing threat to Miss Stoner's life, which Holmes is investigating. | The ongoing threat to Miss Stoner, which is resolved by Dr. Roylott's death.; story: The Adventure Of The Speckled Band"", ""crime: Death of Julia Stoner; type: other; description: Julia Stoner died without recovering consciousness. She was found in her night-dress with a charred match stump and a match-box. The coroner found no satisfactory cause of death, no marks of violence, and no poison. Helen believes she died of pure fear and nervous shock. | La narradora describe la noche en que su hermana Julia murió, escuchando un grito y un silbido. | Miss Stoner's sister met her fate in the second chamber, which is now Miss Stoner's current room. | The client's sister died in her bed, possibly from fear or nervous shock, and the client is now sleeping in the same bed. | The client's sister's death, preceded by a low whistle. | The death of Julia Stoner two years prior, which her sister Helen wishes to discuss with Sherlock Holmes, implying suspicious circumstances. | The death of Miss Stoner's sister, which Holmes is investigating, specifically focusing on the circumstances involving a ventilator and a cord. | The death of Miss Stoner's sister, which Holmes was hired to investigate. | The fate that Miss Stoner's sister met in the second chamber. | The financial implications of the 'will of the deceased wife' (Julia Stoner) are analyzed, providing a potential motive for her death or the threat to her sister. | The murder of Miss Stoner's sister, Julia Stoner, by Dr. Grimesby Roylott using a trained snake. | The mysterious death of Miss Stoner's sister, which Holmes is investigating. | The mysterious end of Helen Stoner's sister, referred to as 'her mysterious end' and 'dying woman'. | The mysterious end of the client's sister, which Holmes is investigating. | The past death of Helen Stoner's sister, which is connected to the current investigation. | The past death of a lady who slept in the bed, now understood to be connected to the ventilator and cord. | The past event that Holmes was investigating, linked to the 'band'. | The sudden and violent death of Helen's sister, Julia, who screams about 'the speckled band' before dying. | The terrible event that occurred a fortnight before Julia's wedding, depriving Helen of her only companion.; story: The Adventure Of The Speckled Band""]",1.0,0.8333333333333334,0.2666666666666667
Where does Holmes live?,"RETURN '221B Baker Street, London' AS ground_truth","221B Baker Street, London",Esta información no se encuentra en la base de conocimiento.,14.41104,"[""location: house; type: building; description: Hilton Cubitt's residence"", ""location: Doctors' Commons; type: building; description: A place where Holmes goes to obtain and examine legal documents, specifically the will of the deceased wife.""]",0.0,1.0,0.0
