id,category,question,expected_tool,ground_truth,answer,actual_tool,routing_correct,latency,total_iterations,context_recall,faithfulness,answer_correctness,failure_mode
F1,factual,How many stories are in the graph?,text2cypher,There are 6 stories.,6 [1].,text2cypher,True,31.893065214157104,1,1.0,1.0,1.0,Excelente
F2,factual,Which characters appear in more than one story?,text2cypher,Sherlock Holmes; Watson; Mrs. Hudson,"Sherlock Holmes [1], Watson [2], and Mrs. Hudson [3] appear in more than one story.",text2cypher,True,18.06685972213745,1,1.0,1.0,1.0,Excelente
F3,factual,How many deductions does Holmes make in The Adventure of the Speckled Band?,text2cypher,The Adventure Of The Speckled Band contains 77 deductions.,Holmes makes 77 deductions in The Adventure of the Speckled Band [1].,text2cypher,True,20.084481239318848,1,1.0,1.0,1.0,Excelente
F4,factual,Which story has the most deductions?,text2cypher,The Adventure Of The Speckled Band has 77 deductions; Silver Blaze has 67 deductions; The Adventure Of The Dancing Men has 65 deductions; A Scandal In Bohemia has 50 deductions; The Red-Headed League has 34 deductions; The Final Problem has 30 deductions,The Adventure Of The Speckled Band [1].,text2cypher,True,26.720111846923828,1,0.16666666666666666,1.0,1.0,Excelente
F5,factual,How old is Irene Adler?,text2cypher,Irene Adler was born in 1858.,Irene Adler was born in 1858 [1]. Her age is not specified in the provided context.,text2cypher,True,52.50017309188843,2,1.0,1.0,1.0,Excelente
D1,descriptive,How does Holmes disguise himself in A Scandal in Bohemia?,vector_search,Holmes disguises himself as a drunken groom and later as a Nonconformist clergyman in A Scandal in Bohemia.,"Holmes se disfraza de un mozo de cuadra sin trabajo [4] y de un clérigo inconformista afable y simple [3]. Su expresión, su manera y su alma parecían variar con cada nuevo papel que asumía [2, 3].",vector_search,True,27.857890367507935,1,0.0,0.3333333333333333,0.33333333333333337,Fallo crítico
D2,descriptive,Describe the atmosphere at the Reichenbach Falls.,hybrid_search,"The Reichenbach Falls is a dreadful place with a tremendous abyss. The torrent, swollen with melting snow, plunges into the abyss from which spray rises like smoke, with the constant swirl and clamour of roaring water.","Las cataratas de Reichenbach son descritas como un lugar temible, un inmenso abismo con un pozo hirviente de profundidad incalculable [1]. El constante torbellino y clamor del agua rugiente y el rocío silbante pueden marear a un hombre, acompañado por un grito medio humano que surge del abismo [1].",vector_search,False,39.73807168006897,1,1.0,1.0,0.3076923076923077,Contexto insuficiente
D3,descriptive,What role does the cipher play in The Adventure of the Dancing Men?,hybrid_search,"The dancing men cipher is the central mystery: Holmes deciphers it by frequency analysis, uncovering a threat to Elsie Cubitt from her criminal past in America.","El cifrado, que consistía en una línea de ""hombres danzantes"", fue utilizado por Holmes para engañar al prisionero, Abe Slaney, haciéndole creer que el mensaje ""Ven aquí de inmediato"" provenía de la dama, lo que lo llevó a acudir al lugar [2].",hybrid_search,True,29.58562445640564,1,1.0,1.0,0.28571428571428575,Contexto insuficiente
D4,descriptive,How does Holmes use disguise as an investigative method?,hybrid_search,"Holmes uses disguise extensively across stories, adopting personas such as a drunken groom, a Nonconformist clergyman, and an old bookseller to gather information without being recognised.",Holmes left his house in the character of a groom out of work to gather information about Briony Lodge and Miss Irene Adler [3]. He lent the ostlers a hand in rubbing down their horses to gain information [3].,vector_search,False,227.16215920448303,2,0.0,1.0,0.5,Contexto insuficiente
S1,structural,Which characters know Holmes AND appear in more than one story?,text2cypher,Watson knows Holmes and appears in 6 stories,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,60.9623703956604,3,0.0,1.0,1.0,Excelente
