id,category,question,expected_tool,ground_truth,answer,actual_tool,routing_correct,latency,total_iterations,context_recall,faithfulness,answer_correctness,failure_mode
F1,factual,How many stories are in the graph?,text2cypher,There are 6 stories.,6 [1].,text2cypher,True,15.476234674453735,1,1.0,1.0,1.0,Excelente
F2,factual,Which characters appear in more than one story?,text2cypher,Sherlock Holmes; Watson; Mrs. Hudson,"Sherlock Holmes, Watson, and Mrs. Hudson appear in more than one story [1, 2, 3].",text2cypher,True,17.063376903533936,1,1.0,1.0,1.0,Excelente
F3,factual,How many deductions does Holmes make in The Adventure of the Speckled Band?,text2cypher,77 deductions,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,55.12490963935852,3,1.0,1.0,0.0,Contexto insuficiente
F4,factual,Which story has the most deductions?,text2cypher,The Adventure Of The Speckled Band (77 deductions),"The Adventure Of The Speckled Band has the most deductions with 77 [1]. Silver Blaze has 67 deductions [5], The Adventure Of The Dancing Men has 65 deductions [4], A Scandal In Bohemia has 50 deductions [2], The Red-Headed League has 34 deductions [3], and The Final Problem has 30 deductions [6].",text2cypher,True,67.54767751693726,3,1.0,1.0,0.25,Contexto insuficiente
D1,descriptive,How does Holmes disguise himself in A Scandal in Bohemia?,vector_search,Holmes disguises himself as a drunken groom and later as a Nonconformist clergyman in A Scandal in Bohemia.,Esta información no se encuentra en la base de conocimiento.,hybrid_search,False,35.9671790599823,2,0.0,1.0,0.0,Contexto insuficiente
D2,descriptive,Describe the atmosphere at the Reichenbach Falls.,vector_search,"Conan Doyle creates a dramatic and deadly atmosphere at Reichenbach Falls, with roaring waters and a precipice where Holmes and Moriarty apparently fall to their deaths.","Las cataratas de Reichenbach son un lugar temible [1]. El torrente, hinchado por la nieve derretida, se precipita en un tremendo abismo, del cual el rocío sube como el humo de una casa en llamas [1]. El constante torbellino y clamor del agua rugiendo y el rocío silbando hacia arriba marean a uno, y se escucha un grito medio humano que resuena desde el abismo [1].",vector_search,True,11.276752471923828,1,1.0,1.0,0.33333333333333337,Contexto insuficiente
D3,descriptive,What role does the cipher play in The Adventure of the Dancing Men?,hybrid_search,"The dancing men cipher is the central mystery: Holmes deciphers it by frequency analysis, uncovering a threat to Elsie Cubitt from her criminal past in America.","El cifrado de los ""hombres danzantes"" se utiliza para ocultar mensajes, dando la impresión de que son meros bocetos infantiles [1]. Holmes lo describe como una forma de escritura secreta, y lo utiliza para descifrar mensajes y para engañar a un prisionero [1, 3].",vector_search,False,20.346818923950195,1,0.0,1.0,0.5714285714285715,Contexto insuficiente
D4,descriptive,How does Holmes use disguise as an investigative method?,hybrid_search,"Holmes uses disguise extensively across stories, adopting personas such as a drunken groom, a Nonconformist clergyman, and an old bookseller to gather information without being recognised.","Holmes changes his costume, expression, manner, and even his soul to vary with each part he assumes [3]. This allows him to blend into a scene, such as Serpentine Avenue, to observe the surroundings and the occupant of Briony Lodge [3]. He also uses this method to orchestrate events, like a staged quarrel, to provoke a reaction and get someone to reveal information [2].",vector_search,False,57.792266845703125,3,0.0,1.0,0.7000000000000001,Excelente
S1,structural,Which characters know Holmes AND appear in more than one story?,text2cypher,Watson,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,17.65043830871582,1,0.0,1.0,0.0,Contexto insuficiente
S2,structural,What objects does Sherlock Holmes use across all stories?,text2cypher,"Alpine-stock; Continental Gazetteer; Holmes's index; bag; bell-rope; black cassock; black clay pipe; boots; box of matches; cable form; cablegram; cane; carpet-bags; chemical vessel; cigar-shaped roll; curious figures; dark lantern; dog-whip; field-glass; glass; half-crown; hand-bag; hat; heavy hunting crop; hieroglyphics; horseshoe; india-rubber band; inscription; iron safe; ivory-handled knife with a very delicate, inflexible blade marked Weiss & Co., London; knees of his trousers; lady's hand-bag; lamp; lantern; large iron safe; lens; letter; little brazen cylinder; long thin cane; magnifying lens; match; matting; monograph upon the subject; morning paper; note; note-book; pack of cards; page torn from a notebook; paper with the curious markings; papers upon which were recorded the antics of the dancing men; photograph; photograph of Mr. John Straker; pistol; plain wooden chair; plumber's smoke-rocket; pocketbook; poker; property; receipt; revolver; sample; screen; sheet of blue paper; sheet of paper; sheet of thick, pink-tinted notepaper; shutters; slip of paper from his notebook; slips of the dancing men; small saucer of milk; special; spirits of wine; stick; stump of a candle; telegram; telegrams; test-tube; the thoroughbred; these papers; twenty fifty-pound notes of the Bank of England; whistle; will of the deceased wife; wire from Hilton Cubitt",Esta información no se encuentra en la base de conocimiento.,text2cypher,True,19.766440629959106,1,1.0,1.0,0.0,Contexto insuficiente
S3,structural,In which stories do crimes of type murder appear?,text2cypher,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Final Problem,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,14.56908631324768,1,1.0,1.0,0.0,Contexto insuficiente
A1,adversarial,What happens in The Adventure of the Blue Carbuncle?,vector_search,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,vector_search,True,15.366632461547852,1,0.0,1.0,1.0,Excelente
A2,adversarial,How old is Irene Adler?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,95.52180457115173,3,1.0,1.0,1.0,Excelente
A3,adversarial,What is the name of Sherlock Holmes' brother who appears in Silver Blaze?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,20.190563917160034,1,1.0,1.0,1.0,Excelente
A4,adversarial,What year was A Scandal in Bohemia first published?,text2cypher,Esta información no se encuentra en la base de conocimiento.,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,19.00013041496277,1,1.0,1.0,1.0,Excelente
R1,robustness,Tell me about the violin-playing detective,vector_search,Sherlock Holmes is an accomplished violinist who plays the instrument to aid his thinking and emotional release.,"El detective es un músico entusiasta, un intérprete muy capaz y un compositor de mérito extraordinario [1]. Disfruta de la música, refiriéndose a ella como ""violin-land"" [1].",vector_search,True,16.231476306915283,1,1.0,1.0,0.5714285714285715,Contexto insuficiente
R2,robustness,En qué relatos sale el Doctor?,text2cypher,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Adventure Of The Speckled Band; The Final Problem; The Red-Headed League,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,21.470207929611206,1,1.0,1.0,0.0,Contexto insuficiente
R3,robustness,¿Quién es la mujer que superó a Sherlock Holmes?,vector_search,Irene Adler outwitted Sherlock Holmes in A Scandal in Bohemia by anticipating his plan and fleeing England with the photograph.,Irene Adler es la mujer que superó a Sherlock Holmes [1].,text2cypher,False,44.3755087852478,1,1.0,1.0,0.6666666666666666,Contexto insuficiente
S4,structural,What deduction chain does Holmes build in The Red-Headed League?,text2cypher,"Holmes confirms a prior suspicion, stating 'I thought as much'. -> ; He is the fourth smartest man in London, and for daring I am not sure that he has not a claim to be third. -> What I expected to see.; Holmes was interested in the knees of his trousers. -> He is the fourth smartest man in London, and for daring I am not sure that he has not a claim to be third.; Why, dear me, it sounds quite hollow! -> We have at least an hour before us.; Then we have stopped all the holes. -> They have but one retreat... That is back through the house into Saxe-Coburg Square.; he had some strong motive for securing the situation. -> It must, then, be something out of the house.; It must, then, be something out of the house. -> The cellar! There was the end of this tangled clue.; The cellar! There was the end of this tangled clue. -> I could think of nothing save that he was running a tunnel to some other building.;  -> Holmes expected them to come tonight (Saturday).","Holmes dedujo que el pawnbroker necesitaba ser apartado durante horas cada día, y que la oferta de £4 a la semana era un señuelo [3]. La colocación de un anuncio y la incitación al hombre para que aplicara aseguraban su ausencia matutina [3]. La aceptación del asistente de medio salario indicaba un fuerte motivo, y al no haber intriga vulgar ni preparativos elaborados para un pequeño negocio, el motivo debía estar fuera de la casa [3]. La afición del asistente a la fotografía y su desaparición en el sótano llevaron a Holmes a investigar el sótano, donde descubrió que el asistente, un criminal, estaba construyendo un túnel a otro edificio [3].",vector_search,False,23.777780771255493,1,0.4444444444444444,0.8571428571428571,0.4,Contexto insuficiente
S5,structural,Which characters investigate crimes AND appear in more than one story?,text2cypher,Sherlock Holmes; Watson,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,19.147138118743896,1,1.0,1.0,0.0,Contexto insuficiente
